problem,seed,disturbance,aware,total,cleared,time_s,status,reason
3,610001,0,0,10,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610001,0,1,10,10,4600.424532,ok,
3,610001,1,0,10,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610001,1,1,10,10,4615.260625,ok,
3,610001,2,0,10,0,424.04001,diagnostic_interruption,truth excluded from conservative polygon
3,610001,2,1,10,10,4606.338851,ok,
3,610001,3,0,10,0,645.738333,diagnostic_interruption,truth excluded from conservative polygon
3,610001,3,1,10,10,4610.219309,ok,
3,610002,0,0,15,0,29.08,diagnostic_interruption,truth excluded from conservative polygon
3,610002,0,1,15,15,4942.146804,ok,
3,610002,1,0,15,0,29.08,diagnostic_interruption,truth excluded from conservative polygon
3,610002,1,1,15,15,4941.064617,ok,
3,610002,2,0,15,0,23.08,diagnostic_interruption,truth excluded from conservative polygon
3,610002,2,1,15,15,4978.189297,ok,
3,610002,3,0,15,0,29.08,diagnostic_interruption,truth excluded from conservative polygon
3,610002,3,1,15,15,4417.539229,ok,
3,610003,0,0,13,2,1410.775424,diagnostic_interruption,truth excluded from conservative polygon
3,610003,0,1,13,13,4883.98554,ok,
3,610003,1,0,13,2,1405.524753,diagnostic_interruption,truth excluded from conservative polygon
3,610003,1,1,13,13,4845.04071,ok,
3,610003,2,0,13,0,466.04001,diagnostic_interruption,truth excluded from conservative polygon
3,610003,2,1,13,13,4887.604031,ok,
3,610003,3,0,13,0,442.128042,diagnostic_interruption,truth excluded from conservative polygon
3,610003,3,1,13,13,4835.357916,ok,
3,610004,0,0,16,0,17.08,diagnostic_interruption,truth excluded from conservative polygon
3,610004,0,1,16,16,4256.031628,ok,
3,610004,1,0,16,0,17.08,diagnostic_interruption,truth excluded from conservative polygon
3,610004,1,1,16,16,4401.877066,ok,
3,610004,2,0,16,0,41.08,diagnostic_interruption,truth excluded from conservative polygon
3,610004,2,1,16,16,4255.423867,ok,
3,610004,3,0,16,0,17.08,diagnostic_interruption,truth excluded from conservative polygon
3,610004,3,1,16,16,4391.99154,ok,
3,610005,0,0,16,0,987.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610005,0,1,16,16,4920.980426,ok,
3,610005,1,0,16,0,987.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610005,1,1,16,16,4939.976554,ok,
3,610005,2,0,16,0,406.04001,diagnostic_interruption,truth excluded from conservative polygon
3,610005,2,1,16,16,4916.874795,ok,
3,610005,3,0,16,0,406.122646,diagnostic_interruption,truth excluded from conservative polygon
3,610005,3,1,16,16,4944.86015,ok,
3,610006,0,0,15,0,11.08,diagnostic_interruption,truth excluded from conservative polygon
3,610006,0,1,15,15,3917.117129,ok,
3,610006,1,0,15,0,11.08,diagnostic_interruption,truth excluded from conservative polygon
3,610006,1,1,15,15,3853.458351,ok,
3,610006,2,0,15,0,23.08,diagnostic_interruption,truth excluded from conservative polygon
3,610006,2,1,15,15,3909.242081,ok,
3,610006,3,0,15,0,11.08,diagnostic_interruption,truth excluded from conservative polygon
3,610006,3,1,15,15,3921.512293,ok,
3,610007,0,0,15,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610007,0,1,15,15,4902.763145,ok,
3,610007,1,0,15,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610007,1,1,15,15,4937.789107,ok,
3,610007,2,0,15,0,442.04001,diagnostic_interruption,truth excluded from conservative polygon
3,610007,2,1,15,15,4908.225555,ok,
3,610007,3,0,15,0,429.996385,diagnostic_interruption,truth excluded from conservative polygon
3,610007,3,1,15,15,4938.219803,ok,
3,610008,0,0,14,0,23.08,diagnostic_interruption,truth excluded from conservative polygon
3,610008,0,1,14,14,3749.300219,ok,
3,610008,1,0,14,0,23.08,diagnostic_interruption,truth excluded from conservative polygon
3,610008,1,1,14,14,3662.101488,ok,
3,610008,2,0,14,0,29.08,diagnostic_interruption,truth excluded from conservative polygon
3,610008,2,1,14,14,3748.822234,ok,
3,610008,3,0,14,0,29.08,diagnostic_interruption,truth excluded from conservative polygon
3,610008,3,1,14,14,3627.755024,ok,
3,610009,0,0,11,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610009,0,1,11,11,4936.602964,ok,
3,610009,1,0,11,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610009,1,1,11,11,4894.325324,ok,
3,610009,2,0,11,0,645.591903,diagnostic_interruption,empty feasible region
3,610009,2,1,11,11,4939.243579,ok,
3,610009,3,0,11,0,645.764702,diagnostic_interruption,truth excluded from conservative polygon
3,610009,3,1,11,11,4913.493105,ok,
3,610010,0,0,10,0,23.08,diagnostic_interruption,truth excluded from conservative polygon
3,610010,0,1,10,10,3431.51538,ok,
3,610010,1,0,10,0,23.08,diagnostic_interruption,truth excluded from conservative polygon
3,610010,1,1,10,10,3456.972843,ok,
3,610010,2,0,10,0,5.08,diagnostic_interruption,truth excluded from conservative polygon
3,610010,2,1,10,10,3431.249479,ok,
3,610010,3,0,10,0,71.08,diagnostic_interruption,truth excluded from conservative polygon
3,610010,3,1,10,10,3468.078816,ok,
3,610011,0,0,15,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610011,0,1,15,15,4901.763145,ok,
3,610011,1,0,15,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610011,1,1,15,15,4936.789107,ok,
3,610011,2,0,15,0,418.04001,diagnostic_interruption,truth excluded from conservative polygon
3,610011,2,1,15,15,4907.225555,ok,
3,610011,3,0,15,0,645.637509,diagnostic_interruption,truth excluded from conservative polygon
3,610011,3,1,15,15,4937.675835,ok,
3,610012,0,0,11,0,17.08,diagnostic_interruption,truth excluded from conservative polygon
3,610012,0,1,11,11,3495.124686,ok,
3,610012,1,0,11,0,17.08,diagnostic_interruption,truth excluded from conservative polygon
3,610012,1,1,11,11,3478.159989,ok,
3,610012,2,0,11,0,35.08,diagnostic_interruption,truth excluded from conservative polygon
3,610012,2,1,11,11,3469.88777,ok,
3,610012,3,0,11,0,11.08,diagnostic_interruption,truth excluded from conservative polygon
3,610012,3,1,11,11,3479.273834,ok,
3,610013,0,0,15,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610013,0,1,15,15,4902.763145,ok,
3,610013,1,0,15,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610013,1,1,15,15,4937.789107,ok,
3,610013,2,0,15,0,454.04001,diagnostic_interruption,truth excluded from conservative polygon
3,610013,2,1,15,15,4908.225555,ok,
3,610013,3,0,15,0,454.146614,diagnostic_interruption,truth excluded from conservative polygon
3,610013,3,1,15,15,4937.327552,ok,
3,610014,0,0,14,0,5.08,diagnostic_interruption,truth excluded from conservative polygon
3,610014,0,1,14,14,4235.94329,ok,
3,610014,1,0,14,0,5.08,diagnostic_interruption,truth excluded from conservative polygon
3,610014,1,1,14,14,4096.154049,ok,
3,610014,2,0,14,0,47.08,diagnostic_interruption,truth excluded from conservative polygon
3,610014,2,1,14,14,4047.530586,ok,
3,610014,3,0,14,0,89.08,diagnostic_interruption,truth excluded from conservative polygon
3,610014,3,1,14,14,4222.177724,ok,
3,610015,0,0,11,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610015,0,1,11,11,4936.602964,ok,
3,610015,1,0,11,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610015,1,1,11,11,4894.325324,ok,
3,610015,2,0,11,0,645.591903,diagnostic_interruption,empty feasible region
3,610015,2,1,11,11,4939.243579,ok,
3,610015,3,0,11,0,645.678271,diagnostic_interruption,truth excluded from conservative polygon
3,610015,3,1,11,11,4893.80408,ok,
3,610016,0,0,14,0,41.08,diagnostic_interruption,truth excluded from conservative polygon
3,610016,0,1,14,14,3804.125425,ok,
3,610016,1,0,14,0,41.08,diagnostic_interruption,truth excluded from conservative polygon
3,610016,1,1,14,14,3823.213962,ok,
3,610016,2,0,14,0,29.08,diagnostic_interruption,truth excluded from conservative polygon
3,610016,2,1,14,14,3807.199618,ok,
3,610016,3,0,14,0,41.08,diagnostic_interruption,truth excluded from conservative polygon
3,610016,3,1,14,14,3823.828799,ok,
3,610017,0,0,10,0,645.634944,diagnostic_interruption,truth excluded from conservative polygon
3,610017,0,1,10,10,4600.424532,ok,
